City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mataura,NZ,2021-08-02 17:17:25,-46.1927,168.8643,44.47,96,100,3.47
68,Hofn,IS,2021-08-02 17:17:25,64.2539,-15.2082,53.62,87,90,11.5
69,Beyneu,KZ,2021-08-02 17:17:25,45.3167,55.2,95.52,12,2,5.26
70,Pahrump,US,2021-08-02 17:17:26,36.2083,-115.9839,96.69,24,0,1.01
71,Gamboma,CG,2021-08-02 17:13:03,-1.8764,15.8644,89.04,30,73,2.91
72,Lagoa,PT,2021-08-02 17:17:26,39.05,-27.9833,72.55,86,0,7.09
73,Ayapel,CO,2021-08-02 17:17:26,8.3137,-75.1398,82.08,75,100,1.14
74,Cape Town,ZA,2021-08-02 17:15:01,-33.9258,18.4232,60.12,74,0,4.29
75,Aklavik,CA,2021-08-02 17:17:27,68.2191,-135.0107,62.6,82,75,6.91
76,Santa Ana,US,2021-08-02 17:14:24,33.7456,-117.8678,99.46,56,1,1.01
77,Axim,GH,2021-08-02 17:17:27,4.8699,-2.2405,80.06,72,84,10.13
78,Sarangani,PH,2021-08-02 17:17:27,5.4033,125.4636,83.79,77,100,14.72
79,Nikolskoye,RU,2021-08-02 17:17:28,59.7035,30.7861,63.39,98,100,8.57
80,Yungay,PE,2021-08-02 17:17:28,-9.1383,-77.7436,66.81,39,12,5.91
81,Anloga,GH,2021-08-02 17:17:28,5.7947,0.8973,78.64,81,92,11.18
82,Tshela,CD,2021-08-02 17:17:29,-4.9833,12.9333,82.78,50,25,4.52
83,Port Blair,IN,2021-08-02 17:17:29,11.6667,92.75,81.99,83,100,18.75
84,Pevek,RU,2021-08-02 17:14:54,69.7008,170.3133,32.47,91,95,20.67
85,Georgetown,MY,2021-08-02 17:15:06,5.4112,100.3354,83.89,80,20,0.0
86,Aripuana,BR,2021-08-02 17:17:29,-9.1667,-60.6333,95.86,19,33,5.55
87,Arraial Do Cabo,BR,2021-08-02 17:15:18,-22.9661,-42.0278,71.46,64,20,13.8
88,Alice Springs,AU,2021-08-02 17:17:30,-23.7,133.8833,42.35,33,0,5.75
89,Balykshi,KZ,2021-08-02 17:17:30,47.0667,51.8667,86.0,17,0,8.95
90,Ludvika,SE,2021-08-02 17:17:30,60.1496,15.1878,58.03,62,50,4.74
91,Ushuaia,AR,2021-08-02 17:15:08,-54.8,-68.3,46.06,46,40,16.11
92,Preobrazheniye,RU,2021-08-02 17:17:31,42.9019,133.9064,68.18,92,98,5.39
93,San Remo,IT,2021-08-02 17:17:31,43.8182,7.7612,80.19,75,10,4.0
94,San Antonio,US,2021-08-02 17:13:58,29.4241,-98.4936,80.62,88,75,4.61
95,Bredasdorp,ZA,2021-08-02 17:17:32,-34.5322,20.0403,58.32,88,38,8.05
96,Bayonet Point,US,2021-08-02 17:17:32,28.3267,-82.6834,93.34,69,56,5.01
