City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Bethel,US,41.3712,-73.414,71.92,89,1,0.0
95,Dikson,RU,73.5069,80.5464,48.88,74,10,11.52
96,Moussoro,TD,13.6408,16.4901,91.98,43,99,12.59
97,Norman Wells,CA,65.282,-126.8329,42.84,87,90,11.5
98,Gusino,RU,54.7244,31.368,68.67,79,99,11.39
99,Nador,MA,35.174,-2.9287,93.27,35,0,18.41
100,Lata,PT,40.1629,-8.3327,74.35,35,28,11.61
101,Nizhniy Odes,RU,63.6445,54.856,58.35,57,100,9.8
102,Henties Bay,NA,-22.116,14.2845,65.82,58,0,9.64
103,Carnarvon,AU,-24.8667,113.6333,69.87,87,90,14.97
104,Nichinan,JP,31.6,131.3667,81.55,90,70,1.01
105,Morondava,MG,-20.2833,44.2833,78.31,49,0,13.27
106,Sable-Sur-Sarthe,FR,47.8376,-0.3329,68.99,50,68,20.6
107,Chokurdakh,RU,70.6333,147.9167,48.85,77,33,9.62
108,Concarneau,FR,47.875,-3.9225,65.19,72,74,19.77
109,Hambantota,LK,6.1241,81.1185,88.14,70,40,16.11
110,Cherskiy,RU,68.75,161.3,53.02,55,95,8.97
111,Bredasdorp,ZA,-34.5322,20.0403,61.92,67,100,2.3
112,Haines Junction,CA,60.7522,-137.5108,49.95,93,100,0.0
113,Zabaykalsk,RU,49.6333,117.3167,69.51,64,2,10.83
114,Neropolis,BR,-16.4064,-49.2186,67.08,52,100,13.24
115,Kapaa,US,22.0752,-159.319,80.92,74,90,4.0
116,Salinopolis,BR,-0.6136,-47.3561,81.01,82,29,8.75
117,Nuuk,GL,64.1835,-51.7216,48.81,71,75,3.44
118,Muhlhausen,DE,51.2167,10.45,73.54,58,100,12.26
119,Nikolskoye,RU,59.7035,30.7861,62.49,98,100,11.32
120,Nanortalik,GL,60.1432,-45.2371,46.9,80,100,11.34
121,Hami,CN,42.8,93.45,91.69,15,3,20.8
122,Roald,NO,62.5833,6.1333,77.9,31,0,4.61
123,Bahce,TR,37.1972,36.5766,95.76,28,15,12.01
124,Akyab,MM,20.15,92.9,81.81,84,48,7.81
125,Kaputa,ZM,-8.4689,29.6619,84.27,25,1,4.34
126,Yeppoon,AU,-23.1333,150.7333,56.98,77,0,4.21
127,Sawankhalok,TH,17.316,99.8319,81.48,76,88,10.96
128,Inta,RU,66.0317,60.1659,55.81,85,100,8.08
129,Paamiut,GL,61.994,-49.6678,43.75,78,100,1.61
130,Fethiye,TR,36.6217,29.1164,100.27,31,1,12.75
131,Ostrovnoy,RU,68.0531,39.5131,62.28,65,15,9.35
132,Den Helder,NL,52.9599,4.7593,74.95,82,75,9.22
133,Bodden Town,KY,19.2833,-81.25,81.93,89,20,1.99
134,Yellowknife,CA,62.456,-114.3525,63.12,72,75,10.36
135,Dingle,PH,10.9995,122.6711,80.02,82,74,8.3
136,Port Hardy,CA,50.6996,-127.4199,55.58,100,90,2.3
137,Northam,GB,51.0333,-4.2167,62.29,95,100,21.07
138,Hasaki,JP,35.7333,140.8333,79.2,88,100,6.73
139,Khatanga,RU,71.9667,102.5,61.74,51,71,10.63
140,Puerto Ayacucho,VE,5.6639,-67.6236,74.62,88,93,2.26
141,Port Elizabeth,ZA,-33.918,25.5701,70.11,63,0,10.36
142,Saint George,US,37.1041,-113.5841,77.95,21,1,5.01
143,San Cristobal,VE,7.7669,-72.225,68.18,86,88,3.74
144,Lakheri,IN,25.6667,76.1667,84.24,74,100,10.67
145,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,94,75,10.36
146,Micheweni,TZ,-4.9667,39.8333,79.39,66,74,9.86
147,Ginir,ET,7.1333,40.7,72.28,47,76,13.47
148,Ulladulla,AU,-35.35,150.4667,52.7,85,51,5.55
149,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,94,75,11.74
150,Castro,BR,-24.7911,-50.0119,57.49,85,98,7.99
151,Hofn,IS,64.2539,-15.2082,55.42,76,40,3.44
152,Kavieng,PG,-2.5744,150.7967,81.95,79,77,16.22
153,Buena Vista,US,43.4203,-83.8986,66.96,96,40,0.0
154,Atuona,PF,-9.8,-139.0333,77.43,82,42,19.55
155,Buala,SB,-8.145,159.5921,79.45,75,100,1.68
156,Kilindoni,TZ,-7.9139,39.6668,77.29,69,3,10.78
157,Sakakah,SA,29.9697,40.2064,105.37,10,1,9.15
158,Necochea,AR,-38.5473,-58.7368,55.06,76,100,10.56
159,Panzhihua,CN,26.5851,101.7128,82.98,65,89,3.58
160,Srednekolymsk,RU,67.45,153.6833,47.34,65,63,8.21
161,Rock Sound,BS,24.9,-76.2,82.98,73,9,14.12
162,Ballina,AU,-28.8667,153.5667,53.78,87,0,1.14
163,Lafiagi,NG,8.8667,5.4167,75.6,93,100,3.62
164,Grand-Lahou,CI,5.1367,-5.0242,79.25,74,87,9.31
165,Cayenne,GF,4.9333,-52.3333,80.64,83,0,2.3
166,Tuktoyaktuk,CA,69.4541,-133.0374,40.46,83,100,12.88
167,Ugra,RU,54.7777,34.3267,80.35,53,79,8.72
168,Van,TR,38.4924,43.3831,72.75,53,40,10.36
169,Avarua,CK,-21.2078,-159.775,75.25,83,75,8.05
170,Dharchula,IN,29.85,80.5333,78.21,88,68,3.04
171,Saskylakh,RU,71.9167,114.0833,55.06,64,91,5.61
172,Barcelos,PT,41.5388,-8.6151,73.85,51,3,10.89
173,Hithadhoo,MV,-0.6,73.0833,81.55,70,95,6.31
174,Carutapera,BR,-1.195,-46.02,80.6,87,19,5.97
175,Tucano,BR,-10.9631,-38.7867,73.18,69,46,12.37
176,Komsomolskiy,UZ,40.4272,71.7189,96.22,16,0,6.91
177,Cumpas,MX,29.9833,-109.7833,73.98,80,82,3.85
178,Chaplynka,UA,46.3651,33.5403,92.26,34,70,17.47
179,Erdenet,MN,49.0333,104.0833,55.38,86,95,5.35
180,Uncia,BO,-18.467,-66.5685,44.04,18,0,3.18
181,La Ronge,CA,55.1001,-105.2842,64.65,94,90,6.91
182,Kpalime,TG,6.9,0.6333,80.53,73,98,8.7
