Hotel_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
212,Dabhol,IN,76.37,broken clouds,17.6,73.1667,Ashwamedh Resort
216,Tual,ID,80.64,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
218,Fortuna,US,92.48,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
223,Puerto Escondido,MX,80.53,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
225,College Station,US,91.47,clear sky,30.628,-96.3344,Homewood Suites by Hilton College Station
228,Kahului,US,85.96,clear sky,20.8947,-156.47,Maui Seaside Hotel
233,Chishtian Mandi,PK,91.69,clear sky,29.8,72.8667,Boys Hostel
236,Berbera,SO,91.2,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
243,Sidi Ali,DZ,75.9,few clouds,36.0998,0.4206,الغابة الترفيهية بورحمة
253,Najran,SA,82.22,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
260,Bubaque,GW,79.32,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
261,Meulaboh,ID,76.35,overcast clouds,4.1363,96.1285,Kost Pria
263,Cabadiangan,PH,83.07,overcast clouds,9.7531,122.4739,Kipot
265,La Seyne-Sur-Mer,FR,75.92,overcast clouds,43.0982,5.8847,Hôtel Kyriad Prestige TOULON
266,Hamilton,US,83.98,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
267,Lorengau,PG,81.03,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
269,San Patricio,US,90.32,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
271,Amahai,ID,77.04,moderate rain,-3.3333,128.9167,HOTEL ISABELA
273,Winslow,US,94.96,few clouds,35.0242,-110.6974,Best Western Plus Winslow Inn
274,Yatou,CN,79.25,broken clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
276,Bandarbeyla,SO,75.4,few clouds,9.4942,50.8122,JABIR HOTEL
280,Bull Savanna,JM,79.7,scattered clouds,17.8868,-77.5902,Big Red's
288,Bharatpur,IN,82.83,overcast clouds,27.2167,77.4833,OYO 22446 Sonar Haveli
290,Atar,MR,88.54,clear sky,20.5169,-13.0499,Oumou Elghoura
297,Muroto,JP,83.03,scattered clouds,33.2833,134.15,Oota Ryokan
299,Oyama,JP,77.67,moderate rain,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
300,Nanakuli,US,85.03,clear sky,21.3906,-158.1547,Camp Pālehua
303,Buala,SB,82.76,light rain,-8.145,159.5921,Maringe Lagoon Lodge
304,Abu Kamal,SY,90.41,clear sky,34.4506,40.9171,محطة التلفاز
305,Eatonton,US,81.63,broken clouds,33.3268,-83.3885,Western Motel of Eatonton
309,Umarkot,PK,81.66,broken clouds,25.3616,69.7362,Al-Qamar Boys Hostel
312,Killeen,US,93.45,clear sky,31.1171,-97.7278,OYO Hotel Killeen
314,Madoc,CA,77.79,overcast clouds,44.5084,-77.4745,Motley Manor on Lilac Grove Hill
316,Kloulklubed,PW,78.93,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
320,Timizart,DZ,77.5,few clouds,36.8,4.2667,yefssah restaurant
321,Mazagao,BR,79.59,scattered clouds,-0.115,-51.2894,Recanto dos Ferreiras
322,Oil City,US,76.73,overcast clouds,41.4339,-79.7064,Days Inn by Wyndham Oil City Conference Center
325,Ensley,US,87.01,scattered clouds,30.5188,-87.2728,Holiday Inn Express & Suites Pensacola W I-10
326,Ugoofaaru,MV,83.08,light rain,5.6667,73.0,Ungoofaaru Inn
328,Waingapu,ID,79.16,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
330,Chigasaki,JP,78.82,moderate rain,35.3261,139.4039,Toyoko INN Shonan Chigasaki Station North
337,Diffa,NE,77.94,broken clouds,13.3154,12.6113,ProDAF/Diffa
340,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
342,Bontang,ID,79.65,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
344,Buchanan,LR,76.53,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
348,Harper,LR,76.23,broken clouds,4.375,-7.7169,Screensaver
350,Kurskaya,RU,75.65,overcast clouds,44.05,44.45,Gostinitsa Fortuna
352,Miyako,JP,80.64,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
353,Arlit,NE,98.49,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
360,Westport,US,79.86,overcast clouds,41.1415,-73.3579,The Westport Inn
367,Hasaki,JP,79.2,heavy intensity rain,35.7333,140.8333,Hotel Sunrise Choshi
369,Touros,BR,75.34,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
370,Trincomalee,LK,79.9,overcast clouds,8.5711,81.2335,Welcombe Hotel
373,Iranshahr,IR,92.52,few clouds,27.2025,60.6848,نیک سرشت
375,Pontes E Lacerda,BR,76.57,clear sky,-15.2261,-59.3353,Hotel Bressan
376,Safaga,EG,92.55,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
377,Ouro Preto Do Oeste,BR,80.01,clear sky,-10.7481,-62.2158,Graúna Resort Hotel
381,High River,CA,78.69,overcast clouds,50.5834,-113.8687,Heritage Inn Hotel & Convention Centre
383,Lubao,PH,84.15,overcast clouds,14.9167,120.55,Hacienda Gracia
385,Half Moon Bay,US,93.81,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
387,Eureka,US,76.12,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
390,Vieques,PR,83.25,clear sky,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
391,Phonhong,LA,78.62,overcast clouds,18.5007,102.4166,Manyvong Guest House
393,Riyadh,SA,92.61,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
397,Victoria,HK,84.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
400,Kifri,IQ,95.16,broken clouds,34.6959,44.9661,میزان کفری
401,Saint-Georges,GD,80.29,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
404,Sao Filipe,CV,78.37,broken clouds,14.8961,-24.4956,Hotel Xaguate
406,Bathsheba,BB,81.43,clear sky,13.2167,-59.5167,Atlantis Hotel
408,Portland,US,82.58,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
411,Isla Mujeres,MX,84.33,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
412,Samarai,PG,77.99,overcast clouds,-10.6167,150.6667,Nuli Sapi
414,Wuan,CN,79.07,broken clouds,31.6836,112.0044,武镇大酒店
417,Gizo,SB,81.55,light rain,-8.103,156.8419,Imagination Island
418,Pacifica,US,93.63,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
421,Singaraja,ID,80.22,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
424,Korla,CN,76.42,clear sky,41.7597,86.1469,Gulisitan Hotel
426,Yining,CN,82.94,scattered clouds,29.0361,114.5636,Xiushui Hotel
428,Corozal,CO,76.37,overcast clouds,9.3151,-75.2928,Hotel Perla De La Sabana
429,Corinto,GR,80.64,clear sky,37.9407,22.9573,Ephira Hotel
431,Batagay,RU,75.76,broken clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
435,Mumford,GH,75.11,broken clouds,5.2618,-0.759,Spanish Villa
437,Nhulunbuy,AU,79.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
439,Alta Floresta,BR,78.91,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
443,Iralaya,HN,79.93,broken clouds,15.0,-83.2333,Iglesia morava renovada
444,Kokoda,PG,83.43,overcast clouds,-8.8785,147.7407,Daito Guest House
445,Mabaruma,GY,75.54,broken clouds,8.2,-59.7833,Monty Brooms Guest House
448,Bejucal,CU,80.55,overcast clouds,22.9286,-82.3886,Casa Ziegler
449,Jaisalmer,IN,83.01,scattered clouds,26.9147,70.9181,Hotel Fifu
451,Kokopo,PG,79.95,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
455,Port Moresby,PG,80.17,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
459,Shimoda,JP,80.71,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
460,Raikot,IN,81.39,scattered clouds,30.65,75.6,Gurdeep Boutique
464,Corn Island,NI,81.68,light rain,12.1694,-83.0418,Big Fish Guest House
466,Katobu,ID,78.75,broken clouds,-4.9408,122.5276,La Ode Husein
467,Gunjur,GM,79.9,scattered clouds,13.2019,-16.7339,Kuba Lodge
472,Barkhan,PK,81.54,few clouds,29.8977,69.5256,Sardar
473,Kailua,US,85.06,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
474,Qui Nhon,VN,84.6,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
475,Elizabeth City,US,75.22,overcast clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
476,Akyab,MM,79.74,broken clouds,20.15,92.9,Hotel Memory
477,Jiwani,PK,80.13,broken clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
478,Porto Recanati,IT,78.85,clear sky,43.4365,13.6613,Hotel Il Brigantino
479,Pafos,CY,80.38,few clouds,34.7667,32.4167,Elysium Hotel
480,Mentougou,CN,77.94,broken clouds,39.9392,116.0917,北京京西晨光饭店
481,Dingle,PH,83.44,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
482,Manokwari,ID,80.33,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
483,Ocosingo,MX,75.04,overcast clouds,17.0667,-92.25,Chabek lumil
484,Kieta,PG,76.55,light rain,-6.2167,155.6333,Uruna Bay Retreat
486,Dicabisagan,PH,86.88,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
487,Ipixuna,BR,77.41,broken clouds,-1.7625,-48.8043,Casa da Oscarina
488,San Ramon,US,93.31,smoke,37.7799,-121.978,San Ramon Marriott
